p,lower,upper,pval,corr,protected_corr,protected_conf
0.85,-0.0249,0.0306,0.839,0.714975116905,-0.00215611043672,0.829311762629
0.8,-0.0376,0.0178,0.483,0.593204120594,-0.00379187283763,0.704582979226
0.95,-0.0536,0.0098,0.243,0.901201310489,-0.00681541046234,0.495578088796
0.9,-0.0298,0.0256,0.884,0.800416214827,0.000600020173017,0.952159997624
0.85,-0.0351,0.0203,0.602,0.70296352192,-0.00194897525718,0.845492100027
0.75,-0.0329,0.0225,0.714,0.496516230233,-0.00183855889377,0.854144418852
0.95,-0.0313,0.0241,0.799,0.905989720873,-0.00270227568617,0.787010791853
0.8,-0.0193,0.0361,0.551,0.605981352974,0.00616302938796,0.537741577509
0.9,-0.0431,0.0124,0.278,0.80560348285,0.00581497084572,0.560951149257
0.85,-0.0353,0.0201,0.592,0.698809336212,0.00346609940027,0.728916151206
0.95,-0.0381,0.0173,0.462,0.890190108561,-0.00983314995514,0.325501219508
0.75,-0.0182,0.0372,0.503,0.496594919281,-0.00189297677135,0.84987792847
0.8,-0.0336,0.0218,0.678,0.59724425597,-0.0011468775765,0.908703952116
0.9,-0.0398,0.0156,0.392,0.803538041641,-0.00381314101854,0.703004528866
0.95,-0.0201,0.0353,0.591,0.902228110859,-0.00914610413362,0.360446191402
0.85,-0.0074,0.0480,0.15,0.701995300006,0.0089970278378,0.368328621453
0.75,-0.0145,0.0409,0.352,0.509999535999,0.00636113289724,0.52475021712
0.8,-0.0285,0.0270,0.957,0.607571571458,-0.00311978012717,0.755086295631
0.95,-0.0385,0.0170,0.446,0.897207007566,0.00513852724918,0.607397504736
0.9,-0.0194,0.0360,0.556,0.794841475987,0.00167105584332,0.867303316621
0.85,-0.0368,0.0186,0.518,0.702163348136,-0.00794231406169,0.427111229251
0.95,-0.0258,0.0297,0.89,0.905988333448,-0.00999836991514,0.317437805597
0.8,-0.0281,0.0273,0.979,0.607694907012,-0.00804350903692,0.421244891777
0.75,-0.0302,0.0252,0.86,0.488969312689,-0.00688861115802,0.490959725349
0.95,-0.0177,0.0377,0.479,0.900814215543,0.0026091463524,0.794183149132
0.9,-0.0221,0.0333,0.693,0.807609083573,-0.00257272526056,0.796992896709
0.85,-0.0277,0.0278,0.997,0.703595431705,-0.00565863475053,0.57153160432
0.8,-0.0339,0.0215,0.66,0.598202304691,0.00245999212621,0.805706359024
0.95,-0.0226,0.0328,0.717,0.899603578657,-0.000198565150847,0.984159814208
0.75,-0.0481,0.0073,0.149,0.49694706334,-0.00565471168793,0.571798323973
